순위,곡제목,가수,앨범
1,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy
2,Supernatural,NewJeans,Supernatural
3,Supernova,aespa,Armageddon - The 1st Album
4,How Sweet,NewJeans,How Sweet
5,Bubble Gum,NewJeans,How Sweet
6,Armageddon,aespa,Armageddon - The 1st Album
7,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
8,Cosmic,Red Velvet (레드벨벳),Cosmic
9,고민중독,QWER,1st Mini Album 'MANITO'
10,해야 (HEYA),IVE (아이브),IVE SWITCH
11,Sticky,KISS OF LIFE,Sticky
12,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album
13,Magnetic,아일릿(ILLIT),SUPER REAL ME
14,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
15,Right Now,NewJeans,Supernatural
16,나는 아픈 건 딱 질색이니까,(여자)아이들,2
17,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!
18,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’
19,Welcome to the Show,DAY6 (데이식스),Fourever
20,예뻤어,DAY6 (데이식스),Every DAY6 February
21,ABCD,나연 (TWICE),NA
22,네가 내 마음에 자리 잡았다 (Into You),엔플라잉(N.Flying),네가 내 마음에 자리 잡았다
23,Blue Moon,엔플라잉(N.Flying),Once in a BLUE MOON
24,내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’
25,에피소드,이무진,에피소드
26,Accendio,IVE (아이브),IVE SWITCH
27,Girls Never Die,tripleS (트리플에스),<ASSEMBLE24>
28,Run Run,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
29,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
30,SHEESH,BABYMONSTER,BABYMONS7ER
31,밤양갱,비비(BIBI),밤양갱
32,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
33,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
34,Balloon in Love,선미,Balloon in Love
35,오래된 노래,허각허각,오래된 노래
36,Love wins all,아이유(IU),The Winning
37,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4
38,Cheeky Icy Thang,STAYC(스테이씨),Metamorphic
39,그랬나봐,유회승 (엔플라잉),선재 업고 튀어 OST Part 6
40,애상,이무진,애상
41,HAPPY,DAY6 (데이식스),Fourever
42,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
43,Ditto,NewJeans,NewJeans 'OMG'
44,I AM,IVE (아이브),I've IVE
45,Love me or Leave me,DAY6 (데이식스),The Book of Us : The Demon
46,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
47,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
48,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
49,비의 랩소디,임재현,비의 랩소디
50,산책,성시경,산책
51,Popcorn,도경수(D.O.),성장 - THE 3RD MINI ALBUM
52,봄눈,10CM,선재 업고 튀어 OST Part 8
53,한 편의 영화 같은 널 사랑했어,벤,한 편의 영화 같은 널 사랑했어
54,Star,엔플라잉(N.Flying),선재 업고 튀어 OST Part 2
55,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어
56,Drama,aespa,Drama - The 4th Mini Album
57,Lucky Girl Syndrome,아일릿(ILLIT),SUPER REAL ME
58,내가 그댈,하동균,내가 그댈
59,Steal The Show (From “엘리멘탈”),Lauv(라우브),Steal The Show (From “엘리멘탈”)
60,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
61,Midas Touch,KISS OF LIFE,Midas Touch
62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3
63,헤어지자 말해요,박재정,1집 Alone
64,Live My Life,aespa,Armageddon - The 1st Album
65,You & I,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
66,Get A Guitar,RIIZE,Get A Guitar
67,LOVE DIVE,IVE (아이브),LOVE DIVE
68,너의 모든 순간,성시경,별에서 온 그대 (SBS 수목드라마) OST - Part.7
69,Spicy,aespa,MY WORLD - The 3rd Mini Album
70,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS'
71,꿈결같아서,민니 ((여자)아이들),선재 업고 튀어 OST Part 3
72,숲,최유리,유영
73,주저하는 연인들을 위해,잔나비,전설
74,OMG,NewJeans,NewJeans 'OMG'
75,Impossible,RIIZE,RIIZING - The 1st Mini Album
76,Love Lee,AKMU(악뮤),Love Lee
77,After LIKE,IVE (아이브),After LIKE
78,Love 119,RIIZE,Love 119
79,Discord,QWER,1st Single Album 'Harmony from Discord'
80,Dangerously,Charlie Puth(찰리 푸스),Nine Track Mind (Deluxe Edition)
81,만날테니까,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
82,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
83,홀씨,아이유(IU),The Winning
84,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
85,인사,범진,인사
86,사건의 지평선,"윤하(Younha,ユンナ)",YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
87,청춘찬가,세븐틴(SEVENTEEN),SEVENTEEN BEST ALBUM ‘17 IS RIGHT HERE'
88,Siren,RIIZE,RIIZING - The 1st Mini Album
89,후라이의 꿈,AKMU(악뮤),Love Lee
90,MAESTRO,세븐틴(SEVENTEEN),SEVENTEEN BEST ALBUM ‘17 IS RIGHT HERE'
91,꿈,태연 (TAEYEON),웰컴투 삼달리 OST Part.3
92,I'll Be There,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 4
93,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
94,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
95,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스),I Don’t Think That I Like Her
96,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
97,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night
98,우릴 머금던 바다,CHEEZE(치즈),우릴 머금던 바다
99,Smart,LE SSERAFIM (르세라핌),EASY
100,Kitsch,IVE (아이브),I've IVE
